peak_frequency,timestamp,label
0,2026-04-07 11:03:46,0
0,2026-04-07 11:04:05,0
8.283,2026-04-07 11:04:38,0
4.142,2026-04-07 11:04:50,0
2.071,2026-04-07 11:05:03,0
1.035,2026-04-07 11:05:15,0
12.979,2026-04-07 11:09:39,0
6.49,2026-04-07 11:09:51,0
3.245,2026-04-07 11:10:18,0
15.322,2026-04-07 11:10:57,0
7.661,2026-04-07 11:11:10,0
6.299,2026-04-07 11:11:35,0
3.149,2026-04-07 11:11:48,0
1.575,2026-04-07 11:12:00,0
0,2026-04-07 11:13:59,0
19,2026-04-07 11:14:12,0
14.7,2026-04-07 11:14:25,0
12.75,2026-04-07 11:14:37,0
18.575,2026-04-07 11:14:50,0
13.788,2026-04-07 11:15:03,0
6.894,2026-04-07 11:15:15,0
22.447,2026-04-07 11:15:34,0
5.117,2026-04-07 11:16:43,1
2.558,2026-04-07 11:16:56,1
1.279,2026-04-07 11:17:08,1
0.64,2026-04-07 11:17:21,1
0.32,2026-04-07 11:17:34,1
0,2026-04-07 15:07:24,0
0,2026-04-07 15:07:38,0
0,2026-04-07 15:07:50,0
0,2026-04-07 15:08:03,0
0,2026-04-07 15:08:15,0
0,2026-04-07 15:08:27,0
0,2026-04-07 15:08:40,0
0,2026-04-07 15:08:52,0
0,2026-04-07 15:09:04,0
0,2026-04-07 15:09:17,0
0,2026-04-07 15:09:29,0
0,2026-04-07 15:09:41,0
0,2026-04-07 15:09:54,0
0,2026-04-07 15:10:06,0
0,2026-04-07 15:10:18,0
0,2026-04-07 15:10:31,0
0,2026-04-07 15:10:43,0
0,2026-04-07 15:10:55,0
0,2026-04-07 15:11:08,0
29.7,2026-04-07 15:11:25,1
47.35,2026-04-07 15:11:39,2
37.675,2026-04-07 15:11:52,2
50.638,2026-04-07 15:12:05,2
43.919,2026-04-07 15:12:19,2
21.959,2026-04-07 15:12:32,1
10.98,2026-04-07 15:12:46,1
5.49,2026-04-07 15:12:59,0
2.745,2026-04-07 15:13:51,0
0,2026-04-07 15:16:19,0
0,2026-04-07 15:16:32,0
0,2026-04-07 15:16:44,0
0,2026-04-07 15:16:57,0
0,2026-04-07 15:17:09,0
55.4,2026-04-07 15:17:22,2
63.1,2026-04-07 15:17:35,3
45.15,2026-04-07 15:17:49,2
56.575,2026-04-07 15:18:03,2
82.288,2026-04-07 15:18:16,3
41.144,2026-04-07 15:18:29,2
90.072,2026-04-07 15:18:43,3
138.236,2026-04-07 15:18:56,3
69.118,2026-04-07 15:19:10,3
86.959,2026-04-07 15:19:24,3
78.279,2026-04-07 15:19:37,3
73.94,2026-04-07 15:19:51,3
71.67,2026-04-07 15:20:04,3
70.235,2026-04-07 15:20:18,3
73.617,2026-04-07 15:20:31,3
79.109,2026-04-07 15:20:45,3
81.154,2026-04-07 15:20:58,3
78.477,2026-04-07 15:21:12,3
81.239,2026-04-07 15:21:25,3
75.319,2026-04-07 15:21:39,3
72.56,2026-04-07 15:21:52,3
70.98,2026-04-07 15:22:06,3
69.99,2026-04-07 15:22:19,3
69.595,2026-04-07 15:22:33,3
69.397,2026-04-07 15:22:47,3
69.399,2026-04-07 15:23:00,3
74.799,2026-04-07 15:23:13,3
72.2,2026-04-07 15:23:27,3
70.9,2026-04-07 15:23:40,3
70.15,2026-04-07 15:23:54,3
69.975,2026-04-07 15:24:07,3
69.687,2026-04-07 15:24:21,3
69.644,2026-04-07 15:24:34,3
69.922,2026-04-07 15:24:48,3
69.861,2026-04-07 15:25:01,3
69.73,2026-04-07 15:25:22,3
70.565,2026-04-07 15:25:36,3
70.083,2026-04-07 15:25:50,3
69.941,2026-04-07 15:26:03,3
69.671,2026-04-07 15:26:17,3
69.835,2026-04-07 15:26:30,3
69.818,2026-04-07 15:26:44,3
70.009,2026-04-07 15:26:57,3
70.104,2026-04-07 15:27:11,3
110.452,2026-04-07 15:27:25,3
90.126,2026-04-07 15:27:39,3
81.063,2026-04-07 15:27:52,3
75.532,2026-04-07 15:28:06,3
72.466,2026-04-07 15:28:19,3
71.133,2026-04-07 15:28:37,3
35.966,2026-04-07 15:28:51,2
93.483,2026-04-07 15:29:04,3
81.442,2026-04-07 15:29:18,3
75.621,2026-04-07 15:29:31,3
72.61,2026-04-07 15:29:45,3
71.205,2026-04-07 15:29:58,3
70.503,2026-04-07 15:30:12,3
70.151,2026-04-07 15:30:25,3
69.976,2026-04-07 15:30:39,3
69.788,2026-04-07 15:30:52,3
69.594,2026-04-07 15:31:06,3
69.697,2026-04-07 15:31:20,3
68.648,2026-04-07 15:31:34,3
70.624,2026-04-07 15:31:47,3
70.112,2026-04-07 15:32:01,3
69.856,2026-04-07 15:32:14,3
69.728,2026-04-07 15:32:28,3
69.564,2026-04-07 15:32:41,3
125.982,2026-04-07 15:32:55,3
138.991,2026-04-07 15:33:08,3
104.396,2026-04-07 15:33:21,3
87.098,2026-04-07 15:33:35,3
78.349,2026-04-07 15:33:48,3
73.874,2026-04-07 15:34:02,3
71.737,2026-04-07 15:34:16,3
70.669,2026-04-07 15:34:29,3
70.134,2026-04-07 15:34:44,3
69.767,2026-04-07 15:34:58,3
69.684,2026-04-07 15:35:11,3
69.642,2026-04-07 15:35:25,3
69.521,2026-04-07 15:35:39,3
69.56,2026-04-07 15:35:52,3
69.58,2026-04-07 15:36:06,3
69.49,2026-04-07 15:36:20,3
69.445,2026-04-07 15:36:33,3
69.523,2026-04-07 15:36:47,3
69.561,2026-04-07 15:37:00,3
69.481,2026-04-07 15:37:14,3
69.54,2026-04-07 15:37:27,3
69.47,2026-04-07 15:37:41,3
69.535,2026-04-07 15:37:55,3
69.468,2026-04-07 15:38:08,3
69.534,2026-04-07 15:38:22,3
69.467,2026-04-07 15:38:36,3
69.433,2026-04-07 15:38:50,3
69.417,2026-04-07 15:39:04,3
69.308,2026-04-07 15:39:17,3
111.254,2026-04-07 15:39:31,3
132.327,2026-04-07 15:39:44,3
